market,code,name
sz,169201,浙商鼎盈LOF
sz,169106,东方红创优定开
sz,169105,东方红睿华LOF
sz,169104,东方红睿满LOF
sz,169101,东方红睿丰LOF
sz,168701,金融科技LOF
sz,168401,红土创新精选LOF
sz,168301,东海祥龙LOF
sz,168204,煤炭LOF
sz,168203,钢铁LOF
sz,168105,九泰泰富LOF
sz,168104,九泰锐丰LOF
sz,168103,九泰锐益LOF
sz,168102,九泰锐富LOF
sz,168101,九泰锐智LOF
sz,167508,安信价值发现定开
sz,167506,安信深圳科技LOF
sz,167503,安信一带一路
sz,167302,大湾区LOF
sz,167301,保险主题LOF
sz,167003,鼎弘LOF
sz,167002,鼎越LOF
sz,167001,鼎泰LOF
sz,166802,浙商沪深300
sz,166107,多因子LOF
sz,166027,中欧创业定开
sz,166025,中欧远见定开
sz,166024,中欧恒利定开
sz,166023,中欧瑞丰LOF
sz,166016,中欧纯债LOF
sz,166011,中欧盛世LOF
sz,166009,中欧动力LOF
sz,166008,中欧强债LOF
sz,166006,中欧成长LOF
sz,166001,中欧趋势LOF
sz,165528,中信保诚鼎利LOF
sz,165526,中信保诚新旺
sz,165525,基建工程LOF
sz,165524,智能家居
sz,165523,信息安全
sz,165522,TMTLOF
sz,165521,金融LOF
sz,165520,有色LOF
sz,165517,中信保诚双盈LOF
sz,165516,中信保诚周期LOF
sz,165515,中信保诚300LOF
sz,165513,中信保诚商品LOF
sz,165512,中信保诚机遇LOF
sz,165511,中信保诚500LOF
sz,165509,中信保诚增强LOF
sz,165508,中信保诚深度LOF
sz,165313,建信优势LOF
sz,165312,央视50财经
sz,165310,沪深300增强
sz,165309,沪深300LOF建信
sz,164908,环境治理
sz,164906,中概互联网LOF
sz,164905,交银新能
sz,164902,交银添利LOF
sz,164824,印度基金LOF
sz,164818,传媒基金
sz,164814,工银双债LOF
sz,164810,工银纯债定开
sz,164705,恒生LOF
sz,164701,黄金LOF
sz,164606,信用增利LOF
sz,164509,国富恒利债券LOF
sz,164508,国富中证A100LOF
sz,164403,农业精选LOF
sz,164402,中航军工
sz,164401,中证健康
sz,163907,中海惠裕LOF
sz,163821,沪深300等权LOF
sz,163801,中银中国LOF
sz,163503,天治核心LOF
sz,163418,兴全合兴LOF
sz,163417,兴全合宜LOF
sz,163415,兴全商业模式LOF
sz,163412,兴全轻资产LOF
sz,163409,兴全绿色LOF
sz,163407,兴全沪深300LOF
sz,163406,兴全合润LOF
sz,163402,兴全趋势LOF
sz,163302,大摩资源LOF
sz,163209,创业板增强LOF
sz,163208,全球油气能源LOF
sz,163116,申万电子LOF
sz,163115,申万军工LOF
sz,163114,申万环保LOF
sz,163113,申万证券LOF
